,Player,#,Nation,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR
6,Moussa Djenepo,12,ml MLI,CM,19.0,0,0,0.0,0.0,0.0,1,1,1,1,3,2,0,0,0
7,Pierre Højbjerg,23,dk DEN,DM,90.0,0,0,0.0,0.0,0.0,0,0,0,3,2,0,2,0,0
8,James Ward-Prowse,16,eng ENG,DM,90.0,0,0,0.0,0.0,0.1,0,0,3,0,7,2,0,1,0
9,Ryan Bertrand,21,eng ENG,LB,90.0,0,0,0.0,0.0,0.1,0,0,1,2,3,1,3,0,0
10,Jan Bednarek,35,pl POL,CB,90.0,1,0,0.2,0.2,0.0,1,1,2,0,1,1,2,1,0
11,Jack Stephens,5,eng ENG,CB,90.0,0,0,0.1,0.1,0.0,1,0,1,0,0,1,0,0,0
12,Cédric Soares,2,pt POR,RB,90.0,0,1,0.1,0.1,0.2,1,1,1,2,6,5,0,0,0
13,Alex McCarthy,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Raúl Jiménez,9,mx MEX,FW,90.0,2,0,1.4,0.6,0.0,4,2,0,1,0,0,1,0,0
1,Adama Traoré,37,es ESP,LW,90.0,0,2,0.0,0.0,0.3,1,0,4,4,4,2,0,0,0
2,Pedro Neto,7,pt POR,RW,86.0,1,0,0.3,0.3,0.2,2,1,2,2,5,0,0,0,0
3,Max Kilman,49,eng ENG,CB,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,Rúben Neves,8,pt POR,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,1,1,1,1,1,0
5,João Moutinho,28,pt POR,CM,90.0,0,0,0.0,0.0,0.1,0,0,0,1,3,1,0,0,0
6,Jonny Castro,19,es ESP,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,1,0,0
7,Matt Doherty,2,ie IRL,WB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,1,1,2,0,0
8,Romain Saïss,27,ma MAR,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,2,0,0
9,Conor Coady,16,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,0
10,Leander Dendoncker,32,be BEL,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,4,2,0,0
11,Rui Patrício,11,pt POR,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Alexandre Lacazette,9,fr FRA,FW,74.0,0,0,0.1,0.1,0.0,1,0,1,2,0,0,0,0,0
1,Eddie Nketiah,30,eng ENG,FW,16.0,0,0,0.0,0.0,0.1,1,0,0,0,0,0,0,0,0
2,Martinelli,35,br BRA,LW,90.0,1,0,1.1,1.1,0.0,3,1,2,0,3,1,0,0,0
3,Nicolas Pépé,19,ci CIV,RW,90.0,0,0,0.2,0.2,0.2,3,1,0,1,6,0,0,0,0
4,Mesut Özil,10,de GER,AM,90.0,0,0,0.0,0.0,0.1,0,0,1,0,3,3,0,0,0
5,Granit Xhaka,34,ch SUI,DM,90.0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,1,1,0
6,Lucas Torreira,11,uy URU,DM,90.0,0,0,0.0,0.0,0.0,1,1,0,3,0,3,2,0,0
7,Bukayo Saka,77,eng ENG,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,3,2,1,0,0
8,David Luiz,23,br BRA,CB,90.0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0
9,Shkodran Mustafi,20,de GER,CB,90.0,0,0,0.0,0.0,0.0,1,1,1,0,0,1,5,0,0
10,Ainsley Maitland-Niles,15,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,2,0,0
11,Bernd Leno,1,de GER,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Lys Mousset,22,fr FRA,FW,56.0,0,0,0.1,0.1,0.0,1,0,2,0,0,0,0,0,0
1,Billy Sharp,10,eng ENG,FW,34.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
2,Oliver McBurnie,9,sco SCO,FW,90.0,0,0,0.5,0.5,0.0,3,1,0,2,1,0,2,0,0
3,John Fleck,4,sco SCO,CM,90.0,1,0,0.1,0.1,0.3,2,1,0,0,6,2,1,0,0
4,John Lundstram,7,eng ENG,CM,67.0,0,0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,0
5,Callum Robinson,11,ie IRL,AM,23.0,0,0,0.0,0.0,0.1,0,0,1,0,2,1,0,0,0
6,Oliver Norwood,16,nir NIR,DM,90.0,0,0,0.0,0.0,0.1,1,0,1,0,7,0,3,1,0
7,Enda Stevens,3,ie IRL,WB,90.0,0,0,0.0,0.0,0.1,0,0,2,0,4,2,2,0,0
8,George Baldock,2,eng ENG,WB,90.0,0,0,0.0,0.0,0.0,0,0,5,2,2,3,4,1,0
9,Jack O'Connell,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0
10,John Egan,12,ie IRL,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,2,0,0
11,Chris Basham,6,eng ENG,CB,76.0,0,0,0.1,0.1,0.0,1,0,0,2,0,2,4,0,0
12,Muhamed Bešić,27,ba BIH,CM,14.0,0,0,0.1,0.1,0.0,1,1,0,0,0,0,0,0,0
13,Dean Henderson,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Teemu Pukki,22,fi FIN,FW,85.0,1,0,1.3,0.5,0.1,2,1,0,1,0,0,0,0,0
1,Josip Drmić,20,ch SUI,FW,5.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
2,Todd Cantwell,14,eng ENG,LW,90.0,0,0,0.1,0.1,0.1,2,0,0,4,2,2,0,0,0
3,Emi Buendía,17,ar ARG,RW,90.0,0,0,0.6,0.6,0.5,5,1,1,2,4,2,0,1,0
4,Lukas Rupp,7,de GER,RW,,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,Ondrej Duda,25,sk SVK,AM,78.0,0,0,0.3,0.3,0.0,3,1,2,0,0,1,0,0,0
6,Grant Hanley,5,sco SCO,CB,12.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
7,Kenny McLean,23,sco SCO,CM,90.0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,5,0,0
8,Alexander Tettey,27,no NOR,CM,90.0,0,0,0.0,0.0,0.3,2,0,1,0,0,1,2,0,0
9,Sam Byram,3,eng ENG,LB,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,2,0,0
10,Ben Godfrey,4,eng ENG,CB,75.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,0,0,1
11,Christoph Zimmermann,6,de GER,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
12,Max Aarons,2,eng ENG,RB,90.0,0,0,0.0,0.0,0.1,0,0,0,1,6,0,0,0,0
13,Tim Krul,1,nl NED,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
0,Callum Wilson,13,eng ENG,FW,90.0,0,0,0.2,0.2,0.0,2,1,1,3,0,1,0,1,0
1,Ryan Fraser,24,sco SCO,FW,90.0,0,0,0.0,0.0,0.1,0,0,0,1,4,2,0,0,0
2,Harry Wilson,22,wal WAL,RW,34.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
3,Simon Francis,2,eng ENG,CB,56.0,0,0,0.0,0.0,0.2,1,0,0,0,0,0,2,0,0
4,Dan Gosling,4,eng ENG,CM,86.0,0,0,0.2,0.2,0.0,1,1,2,0,0,0,1,0,0
5,Lewis Cook,16,eng ENG,CM,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
6,Philip Billing,29,dk DEN,CM,90.0,0,0,0.0,0.0,0.0,1,0,2,1,0,1,2,0,0
7,Jefferson Lerma,8,co COL,CM,78.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,3,0,0
8,Dominic Solanke,9,eng ENG,FW,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,Diego Rico,21,es ESP,LB,90.0,0,0,0.0,0.0,0.1,0,0,2,1,7,1,3,0,0
10,Nathan Aké,5,nl NED,CB,90.0,0,0,0.5,0.5,0.0,2,1,0,0,0,0,1,0,0
11,Steve Cook,3,eng ENG,CM,30.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,2,0,1
12,Adam Smith,15,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,2,1,3,1,5,1,0
13,Aaron Ramsdale,12,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Sergio Agüero,10,ar ARG,FW,90.0,2,0,0.8,0.8,0.0,6,3,1,1,1,0,0,0,0
1,Bernardo Silva,20,pt POR,LW,73.0,0,0,0.2,0.2,0.2,2,2,1,0,7,1,0,0,0
2,Riyad Mahrez,26,dz ALG,CM,17.0,0,0,0.1,0.1,0.0,1,0,0,1,3,0,0,0,0
3,Raheem Sterling,7,eng ENG,RW,89.0,0,0,0.4,0.4,0.0,4,0,0,0,4,1,1,0,0
4,Rodri,16,es ESP,CM,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,David Silva,21,es ESP,CM,62.0,0,0,0.1,0.1,0.1,2,1,0,0,4,1,1,0,0
6,Gabriel Jesus,9,br BRA,FW,28.0,0,1,0.1,0.1,0.4,1,0,1,0,1,0,0,0,0
7,Kevin De Bruyne,17,be BEL,CM,90.0,0,0,0.2,0.2,0.4,6,0,0,1,18,1,0,0,0
8,İlkay Gündoğan,8,de GER,DM,90.0,0,0,0.0,0.0,0.1,1,0,0,1,0,1,1,0,0
9,Benjamin Mendy,22,fr FRA,LB,90.0,0,1,0.0,0.0,0.3,0,0,1,1,15,4,1,1,0
10,Fernandinho,25,br BRA,CB,90.0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0
11,John Stones,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,1,0,2,0,0,2,2,0,0
12,João Cancelo,27,pt POR,RB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,5,2,4,0,0
13,Ederson,31,br BRA,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Cenk Tosun,20,tr TUR,FW,81.0,1,0,0.4,0.4,0.0,2,2,3,3,0,1,0,0,0
1,Connor Wickham,21,eng ENG,FW,9.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
2,Wilfried Zaha,11,ci CIV,CM,90.0,0,0,0.0,0.0,0.1,1,1,0,2,1,0,0,0,0
3,James McCarthy,22,ie IRL,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,2,3,1,0,0
4,Cheikhou Kouyaté,8,sn SEN,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,0,0
5,Jordan Ayew,9,gh GHA,CM,90.0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,1,0
6,James McArthur,18,sco SCO,DM,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,4,1,1,0
7,Jaïro Riedewald,44,nl NED,LB,88.0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,3,0,0
8,Joel Ward,2,eng ENG,LB,2.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
9,Gary Cahill,24,eng ENG,CB,90.0,0,1,0.0,0.0,0.3,1,0,0,1,0,4,1,0,0
10,James Tomkins,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0
11,Martin Kelly,34,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,1,0,0
12,Vicente Guaita,31,es ESP,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Aaron Connolly,44,ie IRL,FW,68.0,0,0,0.0,0.0,0.1,1,0,1,1,0,0,0,0,0
1,Martín Montoya,22,es ESP,RB,22.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
2,Neal Maupay,7,fr FRA,FW,90.0,0,1,0.2,0.2,0.1,4,1,3,5,1,2,0,1,0
3,Leandro Trossard,11,be BEL,CM,81.0,1,0,0.1,0.1,0.0,1,1,2,2,1,0,0,0,0
4,Glenn Murray,17,eng ENG,LW,9.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,Aaron Mooy,18,au AUS,CM,81.0,0,0,0.1,0.1,0.0,1,0,0,2,3,0,3,0,0
6,Pascal Groß,13,de GER,RW,9.0,0,0,0.0,0.0,0.1,0,0,0,0,3,1,0,0,0
7,Dale Stephens,6,eng ENG,DM,90.0,0,0,0.1,0.1,0.0,1,0,1,0,0,2,3,0,0
8,Davy Pröpper,24,nl NED,DM,90.0,0,0,0.0,0.0,0.0,0,0,0,2,0,2,1,0,0
9,Bernardo,30,br BRA,LB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,2,1,1,0,0
10,Lewis Dunk,5,eng ENG,CB,90.0,0,0,0.1,0.1,0.4,1,0,1,0,0,0,1,1,0
11,Adam Webster,15,eng ENG,CB,90.0,0,0,0.3,0.3,0.0,1,0,1,0,0,0,5,1,0
12,Steven Alzate,46,co COL,RB,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,2,0,0
13,Mathew Ryan,1,au AUS,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Anwar El Ghazi,21,nl NED,FW,90.0,0,0,0.1,0.1,0.1,1,0,0,1,4,0,0,0,0
1,Jack Grealish,10,eng ENG,AM,90.0,1,0,0.3,0.3,0.2,3,1,1,3,4,0,1,0,0
2,Trézéguet,17,eg EGY,AM,67.0,0,0,0.0,0.0,0.1,0,0,1,0,4,0,0,0,0
3,Indiana Vassilev,36,us USA,FW,23.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
4,Marvelous Nakamba,11,zw ZIM,DM,86.0,0,0,0.0,0.0,0.0,0,0,3,1,1,3,1,1,0
5,Conor Hourihane,14,ie IRL,DM,4.0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0
6,Danny Drinkwater,4,eng ENG,DM,68.0,0,0,0.1,0.1,0.0,2,0,1,1,0,1,2,1,0
7,Douglas Luiz,6,br BRA,DM,22.0,0,1,0.0,0.0,0.1,1,1,0,0,0,0,1,0,0
8,Matt Targett,18,eng ENG,WB,90.0,0,0,0.0,0.0,0.1,0,0,2,0,3,3,2,0,0
9,Frederic Guilbert,24,fr FRA,WB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,2,5,1,0,0
10,Kortney Hause,30,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,2,3,0,0
11,Tyrone Mings,40,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,2,0,0
12,Ezri Konsa,15,eng ENG,CB,90.0,0,0,0.2,0.2,0.0,1,1,3,3,0,2,1,0,0
13,Pepe Reina,29,es ESP,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
0,Joelinton,9,br BRA,FW,90.0,0,0,0.1,0.1,0.0,2,0,3,3,0,1,0,0,0
1,Allan Saint-Maximin,10,fr FRA,AM,90.0,0,1,0.0,0.0,0.2,1,0,1,0,1,0,0,0,0
2,Miguel Almirón,24,py PAR,AM,90.0,0,0,0.0,0.0,0.0,0,0,1,4,1,1,3,0,0
3,Isaac Hayden,14,eng ENG,CM,90.0,1,0,0.2,0.2,0.0,1,1,2,2,2,0,1,1,0
4,Jonjo Shelvey,8,eng ENG,DM,85.0,0,0,0.0,0.0,0.2,1,1,0,0,1,1,1,0,0
5,Matthew Longstaff,43,eng ENG,DM,5.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
6,Jetro Willems,15,nl NED,WB,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
7,Matt Ritchie,11,sco SCO,WB,78.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0
8,Emil Krafth,17,se SWE,WB,71.0,0,0,0.0,0.0,0.0,0,0,0,0,3,2,0,0,0
9,Sean Longstaff,36,eng ENG,CM,19.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
10,Ciaran Clark,2,ie IRL,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,3,0,1,1,0,0
11,Jamaal Lascelles,6,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0
12,Federico Fernández,18,ar ARG,CB,90.0,0,0,0.2,0.2,0.1,1,0,0,0,1,2,2,0,0
13,Martin Dúbravka,1,sk SVK,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Tammy Abraham,9,eng ENG,FW,80.0,0,0,1.3,1.3,0.0,4,1,1,1,1,0,0,0,0
1,Michy Batshuayi,23,be BEL,FW,10.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
2,Willian,10,br BRA,LW,90.0,0,0,0.2,0.2,0.1,4,0,0,0,4,1,2,0,0
3,Callum Hudson-Odoi,20,eng ENG,RW,90.0,0,0,0.0,0.0,0.2,1,0,1,1,10,0,0,0,0
4,Mason Mount,19,eng ENG,CM,68.0,0,0,0.2,0.2,0.3,2,0,1,2,4,0,1,0,0
5,Ross Barkley,8,eng ENG,CM,22.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0
6,N'Golo Kanté,7,fr FRA,CM,90.0,0,0,0.1,0.1,0.1,2,2,4,0,0,3,3,0,0
7,Jorginho,5,it ITA,DM,90.0,0,0,0.0,0.0,0.0,1,0,0,2,1,0,4,0,0
8,César Azpilicueta,28,es ESP,LB,90.0,0,0,0.1,0.1,0.6,3,1,3,1,3,0,3,0,0
9,Antonio Rüdiger,2,de GER,CB,90.0,0,0,0.2,0.2,0.0,1,0,0,0,0,0,0,0,0
10,Andreas Christensen,4,dk DEN,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,2,0,0
11,Reece James,24,eng ENG,RB,75.0,0,0,0.0,0.0,0.1,0,0,1,1,6,2,3,0,0
12,Emerson Palmieri,33,it ITA,LB,15.0,0,0,0.1,0.1,0.0,1,0,1,0,2,0,0,1,0
13,Kepa Arrizabalaga,1,es ESP,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Jay Rodriguez,19,eng ENG,FW,90.0,0,0,0.0,0.0,0.0,1,1,1,1,2,4,1,0,0
1,Chris Wood,9,nz NZL,FW,90.0,1,0,1.0,1.0,0.0,4,2,2,0,0,0,0,0,0
2,Aaron Lennon,25,eng ENG,FW,,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
3,Dwight McNeil,11,eng ENG,CM,90.0,0,0,0.0,0.0,0.2,1,0,2,1,5,1,2,0,0
4,Jeff Hendrick,13,ie IRL,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,2,3,0,1,0,0
5,Jack Cork,4,eng ENG,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,0,0,3,0,0,0
6,Ashley Westwood,18,eng ENG,DM,90.0,1,0,0.2,0.2,0.0,1,1,0,0,3,0,0,0,0
7,Charlie Taylor,3,eng ENG,LB,90.0,0,0,0.0,0.0,0.2,0,0,1,3,3,0,3,0,0
8,Ben Mee,6,eng ENG,CB,90.0,0,0,0.2,0.2,0.0,1,1,1,0,0,0,1,1,0
9,James Tarkowski,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,3,0,0
10,Phil Bardsley,26,sco SCO,RB,90.0,0,0,0.0,0.0,0.0,0,0,3,0,3,3,2,0,0
11,Nick Pope,1,eng ENG,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Jamie Vardy,9,eng ENG,FW,90.0,0,0,1.2,0.5,0.0,2,1,0,0,0,1,1,0,0
1,Harvey Barnes,15,eng ENG,CM,90.0,1,0,0.3,0.3,0.2,3,3,2,2,3,0,0,0,0
2,James Maddison,10,eng ENG,CM,90.0,0,0,0.2,0.2,0.2,4,1,2,4,10,0,0,0,0
3,Dennis Praet,26,be BEL,CM,74.0,0,1,0.2,0.2,0.0,1,1,0,2,1,3,0,0,0
4,Youri Tielemans,8,be BEL,CM,16.0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,1,0,0
5,Ayoze Pérez,17,es ESP,CM,74.0,0,0,0.1,0.1,0.1,2,0,1,0,0,2,1,0,0
6,Kelechi Iheanacho,14,ng NGA,FW,16.0,0,0,0.0,0.0,0.3,1,0,0,0,0,0,0,0,0
7,Nampalys Mendy,24,fr FRA,DM,90.0,0,0,0.0,0.0,0.0,1,1,0,2,0,2,3,0,0
8,Christian Fuchs,28,at AUT,LB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,3,0,1,0,0
9,Çağlar Söyüncü,4,tr TUR,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,1,1,0,0,0
10,Jonny Evans,6,nir NIR,CB,90.0,0,0,0.1,0.1,0.0,2,0,1,2,0,0,3,0,0
11,Ricardo Pereira,21,pt POR,RB,90.0,0,0,0.1,0.1,0.1,1,0,1,0,2,6,0,0,0
12,Kasper Schmeichel,1,dk DEN,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
0,Roberto Firmino,9,br BRA,FW,83.0,0,0,0.3,0.3,0.3,3,0,0,2,0,0,0,0,0
1,Divock Origi,27,be BEL,FW,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,Sadio Mané,10,sn SEN,LW,83.0,0,0,0.7,0.7,0.2,4,1,2,1,2,0,0,0,0
3,Fabinho,3,br BRA,CM,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,Mohamed Salah,11,eg EGY,RW,90.0,1,0,1.0,1.0,0.3,4,1,0,4,4,0,3,1,0
5,Georginio Wijnaldum,5,nl NED,CM,90.0,0,0,0.0,0.0,0.2,0,0,0,2,0,3,0,0,0
6,Alex Oxlade-Chamberlain,15,eng ENG,CM,66.0,0,0,0.1,0.1,0.2,2,1,1,0,4,3,0,0,0
7,Adam Lallana,20,eng ENG,CM,24.0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,1,0,0
8,Jordan Henderson,14,eng ENG,DM,90.0,0,0,0.1,0.1,0.1,2,1,0,0,0,3,0,0,0
9,Andrew Robertson,26,sco SCO,LB,90.0,0,0,0.0,0.0,0.5,0,0,0,0,9,0,1,0,0
10,Virgil van Dijk,4,nl NED,CB,90.0,1,0,0.1,0.1,0.0,1,1,1,0,0,0,2,0,0
11,Joe Gomez,12,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,3,0,0
12,Trent Alexander-Arnold,66,eng ENG,RB,90.0,0,1,0.0,0.0,0.2,0,0,0,0,9,0,0,0,0
13,Alisson,1,br BRA,GK,90.0,0,1,0.0,0.0,0.4,0,0,0,0,0,0,0,0,0
0,Anthony Martial,9,fr FRA,FW,90.0,0,0,0.3,0.3,0.0,3,1,0,1,2,0,0,0,0
1,Daniel James,21,wal WAL,FW,90.0,0,0,0.0,0.0,0.0,0,0,0,0,3,1,0,0,0
2,Andreas Pereira,15,br BRA,AM,74.0,0,0,0.7,0.7,0.3,2,1,0,0,1,0,0,0,0
3,Juan Mata,8,es ESP,AM,16.0,0,0,0.0,0.0,0.0,0,0,0,1,3,0,0,0,0
4,Fred,17,br BRA,CM,90.0,0,0,0.1,0.1,0.1,2,1,1,2,4,3,4,0,0
5,Nemanja Matić,31,rs SRB,DM,90.0,0,0,0.0,0.0,0.0,0,0,4,0,0,2,0,1,0
6,Brandon Williams,53,eng ENG,WB,74.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
7,Mason Greenwood,26,eng ENG,RW,16.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
8,Aaron Wan-Bissaka,29,eng ENG,WB,90.0,0,0,0.1,0.1,0.7,1,0,1,0,3,0,4,0,0
9,Luke Shaw,23,eng ENG,CB,87.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,2,1,0
10,Diogo Dalot,20,pt POR,LB,3.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0
11,Harry Maguire,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,1,3,0,0
12,Victor Lindelöf,2,se SWE,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0
13,David de Gea,1,es ESP,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0
0,Cenk Tosun,20,tr TUR,FW,69.0,0,0,0.4,0.4,0.0,2,0,1,0,0,0,0,0,0
1,Connor Wickham,21,eng ENG,FW,21.0,0,0,0.1,0.1,0.1,2,0,1,0,0,0,0,0,0
2,Wilfried Zaha,11,ci CIV,CM,90.0,0,0,0.0,0.0,0.1,0,0,1,4,3,0,1,0,0
3,James McCarthy,22,ie IRL,CM,90.0,0,0,0.0,0.0,0.0,1,0,1,0,0,2,1,0,0
4,Cheikhou Kouyaté,8,sn SEN,CM,62.0,0,0,0.0,0.0,0.2,0,0,2,2,0,1,2,0,0
5,Max Meyer,7,de GER,CM,28.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0
6,Jordan Ayew,9,gh GHA,CM,90.0,0,0,0.1,0.1,0.0,1,0,1,3,0,1,0,0,0
7,James McArthur,18,sco SCO,DM,90.0,0,0,0.1,0.1,0.0,1,0,3,0,0,1,5,0,0
8,Jaïro Riedewald,44,nl NED,LB,90.0,0,0,0.0,0.0,0.1,0,0,0,1,1,1,2,0,0
9,Gary Cahill,24,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0
10,James Tomkins,5,eng ENG,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,3,1,0
11,Martin Kelly,34,eng ENG,RB,62.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
12,Joel Ward,2,eng ENG,RB,28.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0
13,Vicente Guaita,31,es ESP,GK,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
0,Michael Obafemi,20,ie IRL,FW,84.0,0,0,0.0,0.0,0.5,1,0,0,2,1,0,1,0,0
1,Che Adams,10,eng ENG,FW,6.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
2,Shane Long,7,ie IRL,FW,70.0,0,0,0.5,0.5,0.3,2,1,0,0,2,0,0,0,0
3,Danny Ings,9,eng ENG,FW,20.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
4,Nathan Redmond,22,eng ENG,CM,90.0,1,1,0.2,0.2,0.1,2,2,0,0,1,1,0,1,0
5,Pierre Højbjerg,23,dk DEN,CM,90.0,0,0,0.0,0.0,0.1,2,0,3,0,1,1,0,0,0
6,James Ward-Prowse,16,eng ENG,RB,90.0,0,0,0.0,0.0,0.0,0,0,4,2,7,1,3,0,0
7,Stuart Armstrong,17,sco SCO,CM,90.0,1,0,0.3,0.3,0.0,6,3,0,0,0,2,0,0,0
8,Ryan Bertrand,21,eng ENG,LB,90.0,0,0,0.0,0.0,0.1,1,0,1,3,6,3,0,0,0
9,Jannik Vestergaard,4,dk DEN,CB,90.0,0,0,0.3,0.3,0.0,1,0,1,1,0,0,2,0,0
10,Jack Stephens,5,eng ENG,CB,90.0,0,1,0.0,0.0,0.1,0,0,0,1,0,1,0,0,0
