Player,Pos,Min,Gls,Ast,xG,npxG,xA,Sh,SoT,Fls,Fld,Crs,TklW,Int,CrdY,CrdR,position_group,Premier League
Ben Osborn,CM,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
John Fleck,CM,90.0,0,0,0.0,0.0,0.0,0,0,2,0,3,1,1,0,0,Midfield,PL
John Lundstram,CM,90.0,0,1,0.0,0.0,0.2,0,0,1,0,0,2,3,0,0,Midfield,PL
Oliver Norwood,DM,64.0,0,0,0.0,0.0,0.0,0,0,0,0,3,1,2,1,0,Midfield,PL
Phil Jagielka,CB,26.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Defender,PL
Enda Stevens,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,2,3,0,1,0,0,Defender,PL
George Baldock,WB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,2,0,0,1,0,Defender,PL
Jack O'Connell,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,2,0,0,Defender,PL
John Egan,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,3,0,0,Defender,PL
Chris Basham,CB,90.0,0,0,0.0,0.0,0.0,1,0,1,3,0,3,1,0,0,Defender,PL
Sergio Agüero,FW,90.0,1,1,2.1,1.4,1.3,6,1,0,0,1,2,1,0,0,Forward,PL
Bernardo Silva,LW,90.0,3,0,1.4,1.4,0.3,5,4,2,1,3,2,0,1,0,Forward,PL
Riyad Mahrez,RW,90.0,1,1,0.3,0.3,0.3,4,2,0,2,3,1,0,0,0,Forward,PL
David Silva,CM,90.0,1,0,0.8,0.8,0.1,3,1,0,2,1,1,0,0,0,Midfield,PL
Kevin De Bruyne,CM,90.0,1,2,0.6,0.6,1.7,4,1,0,1,6,0,0,0,0,Midfield,PL
Rodri,DM,90.0,0,0,0.1,0.1,0.0,2,1,2,2,0,1,0,0,0,Midfield,PL
Benjamin Mendy,LB,45.0,0,0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,Defender,PL
Angeliño,LB,45.0,0,0,0.0,0.0,0.5,0,0,1,0,4,0,2,1,0,Defender,PL
Fernandinho,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,Defender,PL
Nicolás Otamendi,CB,63.0,1,0,0.8,0.8,0.0,2,1,0,0,0,1,1,0,0,Defender,PL
Eric García,CB,27.0,0,0,0.0,0.0,0.0,0,0,0,1,0,2,0,0,0,Defender,PL
Kyle Walker,RB,54.0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,3,0,0,Defender,PL
João Cancelo,RB,36.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,Defender,PL
Gerard Deulofeu,FW,77.0,0,0,0.3,0.3,0.0,3,3,0,0,4,0,2,1,0,Forward,PL
Andre Gray,FW,13.0,0,0,0.1,0.1,0.0,1,1,0,1,0,0,0,0,0,Forward,PL
Tom Cleverley,CM,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,2,0,0,Midfield,PL
Will Hughes,CM,59.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,Midfield,PL
Ismaila Sarr,AM,31.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,Midfield,PL
Dimitri Foulquier,CM,33.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Midfield,PL
Roberto Pereyra,CM,57.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,Midfield,PL
Abdoulaye Doucouré,DM,90.0,0,0,0.0,0.0,0.0,0,0,3,0,0,1,1,0,0,Midfield,PL
Étienne Capoue,DM,90.0,0,0,0.0,0.0,0.2,0,0,0,0,0,0,5,0,0,Midfield,PL
José Holebas,LB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,0,1,0,0,0,Defender,PL
Adrian Mariappa,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,Defender,PL
Craig Dawson,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Defender,PL
Kiko Femenía,RB,90.0,0,0,0.0,0.0,0.0,0,0,2,2,0,3,0,1,0,Defender,PL
Joelinton,FW,90.0,0,0,0.2,0.2,0.2,3,0,2,1,0,1,1,0,0,Forward,PL
Christian Atsu,LW,90.0,0,0,0.1,0.1,0.0,1,0,1,0,2,2,0,1,0,Forward,PL
Miguel Almirón,RW,73.0,0,0,0.4,0.4,0.0,2,2,0,2,0,2,1,0,0,Forward,PL
Allan Saint-Maximin,LW,17.0,0,0,0.0,0.0,0.1,1,1,0,2,4,0,0,0,0,Forward,PL
Jonjo Shelvey,CM,73.0,0,0,0.0,0.0,0.2,1,1,0,1,5,0,0,0,0,Midfield,PL
Ki Sung-yueng,CM,17.0,0,0,0.0,0.0,0.0,0,0,1,0,3,0,0,0,0,Midfield,PL
Isaac Hayden,CM,90.0,0,0,0.0,0.0,0.3,0,0,1,0,1,4,2,0,0,Midfield,PL
Jetro Willems,WB,82.0,0,0,0.0,0.0,0.0,1,0,1,0,3,1,1,0,0,Defender,PL
Andy Carroll,WB,8.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Defender,PL
Javier Manquillo,WB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,1,3,1,1,0,Defender,PL
Paul Dummett,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,Defender,PL
Jamaal Lascelles,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,1,1,0,0,Defender,PL
Fabian Schär,CB,90.0,0,0,0.1,0.1,0.0,2,0,2,0,0,0,1,0,0,Defender,PL
Neal Maupay,FW,82.0,0,0,0.6,0.6,0.0,7,1,0,0,0,0,0,0,0,Forward,PL
Yves Bissouma,RW,8.0,0,0,0.0,0.0,0.0,1,1,0,0,2,0,0,0,0,Forward,PL
Aaron Mooy,LW,70.0,0,0,0.1,0.1,0.0,2,0,0,0,1,1,1,0,0,Forward,PL
Aaron Connolly,LW,20.0,0,0,0.2,0.2,0.0,1,0,0,4,1,1,0,0,0,Forward,PL
Pascal Groß,RW,81.0,0,0,0.0,0.0,0.3,2,0,1,0,6,0,0,0,0,Forward,PL
Gaëtan Bong,WB,9.0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,Defender,PL
Davy Pröpper,CM,90.0,0,0,0.0,0.0,0.3,0,0,2,0,1,2,0,0,0,Midfield,PL
Dale Stephens,CM,90.0,0,0,0.0,0.0,0.1,2,0,1,0,1,2,2,0,0,Midfield,PL
Steven Alzate,WB,90.0,0,0,0.0,0.0,0.0,0,0,0,4,0,0,0,0,0,Defender,PL
Martín Montoya,WB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,2,0,1,0,0,Defender,PL
Dan Burn,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,2,1,1,0,0,Defender,PL
Lewis Dunk,CB,90.0,0,0,0.1,0.1,0.0,1,0,2,2,0,1,3,1,0,Defender,PL
Adam Webster,CB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,0,1,1,0,0,Defender,PL
Jordan Ayew,FW,69.0,0,0,0.0,0.0,0.0,1,1,1,1,0,0,0,1,0,Forward,PL
Christian Benteke,FW,21.0,0,0,0.1,0.1,0.4,1,1,0,0,0,0,0,0,0,Forward,PL
Jeffrey Schlupp,CM,90.0,0,0,0.5,0.5,0.1,2,1,0,0,0,2,1,0,0,Midfield,PL
Cheikhou Kouyaté,CM,90.0,0,0,0.0,0.0,0.0,2,0,0,1,0,5,2,0,0,Midfield,PL
James McArthur,CM,83.0,0,0,0.0,0.0,0.1,0,0,3,0,0,1,0,1,0,Midfield,PL
James McCarthy,CM,7.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Wilfried Zaha,CM,90.0,0,0,0.0,0.0,0.0,2,1,2,5,1,2,1,0,0,Midfield,PL
Luka Milivojević,DM,90.0,0,0,0.0,0.0,0.0,2,0,0,0,7,1,3,0,0,Midfield,PL
Patrick van Aanholt,LB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,Defender,PL
Mamadou Sakho,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Defender,PL
Gary Cahill,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0,Defender,PL
Joel Ward,RB,90.0,0,0,0.1,0.1,0.0,1,0,1,1,1,4,3,0,0,Defender,PL
Raúl Jiménez,FW,76.0,0,0,0.1,0.1,0.3,2,1,0,0,0,1,0,0,0,Forward,PL
Patrick Cutrone,FW,14.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Diogo Jota,LW,90.0,1,0,0.4,0.4,0.0,4,2,2,1,1,2,0,0,0,Forward,PL
Adama Traoré,RW,90.0,0,1,0.1,0.1,0.4,3,0,0,2,9,0,1,0,0,Forward,PL
João Moutinho,DM,90.0,0,0,0.0,0.0,0.1,0,0,5,1,9,5,1,0,0,Midfield,PL
Leander Dendoncker,DM,65.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,2,0,0,Midfield,PL
Pedro Neto,RW,25.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Forward,PL
Jonny Castro,WB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,2,4,3,0,0,Defender,PL
Matt Doherty,WB,57.0,0,0,0.1,0.1,0.0,1,1,0,0,1,1,1,0,0,Defender,PL
Rúben Neves,DM,33.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,Midfield,PL
Romain Saïss,CB,72.0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,1,2,1,Defender,PL
Conor Coady,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,2,1,0,Defender,PL
Willy Boly,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,Defender,PL
Sébastien Haller,FW,90.0,0,0,0.1,0.1,0.0,1,0,0,1,0,1,1,0,0,Forward,PL
Felipe Anderson,CM,70.0,0,1,0.1,0.1,0.1,1,1,0,0,1,4,2,0,0,Midfield,PL
Jack Wilshere,CM,20.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Midfield,PL
Pablo Fornals,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,1,3,2,0,0,0,Midfield,PL
Mark Noble,CM,90.0,0,0,0.0,0.0,0.1,1,1,3,3,0,0,1,1,0,Midfield,PL
Andriy Yarmolenko,CM,89.0,1,0,0.2,0.2,0.1,3,3,1,1,2,0,1,0,0,Midfield,PL
Robert Snodgrass,CM,1.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,Midfield,PL
Declan Rice,DM,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,Midfield,PL
Aaron Cresswell,LB,90.0,1,0,0.1,0.1,0.0,2,1,1,0,4,2,1,0,0,Defender,PL
Angelo Ogbonna,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,Defender,PL
Issa Diop,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,Defender,PL
Ryan Fredericks,RB,80.0,0,0,0.0,0.0,0.0,0,0,0,0,3,1,2,0,0,Defender,PL
Pablo Zabaleta,RB,10.0,0,0,0.0,0.0,0.0,0,0,0,1,0,2,0,0,0,Defender,PL
Marcus Rashford,FW,61.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,Forward,PL
Jesse Lingard,FW,29.0,0,0,0.1,0.1,0.0,1,0,0,0,0,0,0,0,0,Forward,PL
Daniel James,LW,90.0,0,0,0.1,0.1,0.0,1,0,1,2,4,0,0,0,0,Forward,PL
Andreas Pereira,RW,90.0,0,0,0.0,0.0,0.7,2,0,0,2,2,1,0,0,0,Forward,PL
Juan Mata,AM,81.0,0,0,0.7,0.7,0.0,2,0,1,1,0,0,0,1,0,Midfield,PL
Angel Gomes,AM,9.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Nemanja Matić,DM,71.0,0,0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,0,Midfield,PL
Fred,DM,19.0,0,0,0.0,0.0,0.1,0,0,1,0,0,3,0,0,0,Midfield,PL
Scott McTominay,DM,90.0,0,0,0.1,0.1,0.0,2,2,2,1,1,1,2,0,0,Midfield,PL
Ashley Young,LB,90.0,0,0,0.0,0.0,0.0,0,0,3,0,7,0,1,1,0,Defender,PL
Harry Maguire,CB,90.0,0,0,0.1,0.1,0.0,1,1,0,0,0,0,1,0,0,Defender,PL
Victor Lindelöf,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Defender,PL
Aaron Wan-Bissaka,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,5,0,3,0,0,Defender,PL
Tammy Abraham,FW,77.0,0,0,0.7,0.7,0.0,3,1,0,1,0,0,1,0,0,Forward,PL
Michy Batshuayi,FW,13.0,0,0,0.2,0.2,0.0,2,0,0,1,0,0,0,0,0,Forward,PL
Mason Mount,LW,90.0,0,0,0.1,0.1,0.1,1,0,2,0,5,2,0,0,0,Forward,PL
Willian,RW,90.0,0,0,0.0,0.0,0.0,1,0,0,3,4,1,0,0,0,Forward,PL
Mateo Kovačić,CM,90.0,0,0,0.0,0.0,0.0,1,0,0,2,0,1,2,1,0,Midfield,PL
N'Golo Kanté,CM,90.0,1,0,0.1,0.1,0.0,2,1,1,1,0,1,2,0,0,Midfield,PL
Jorginho,DM,90.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,Midfield,PL
Emerson Palmieri,LB,15.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Defender,PL
Marcos Alonso,LB,75.0,0,0,0.0,0.0,0.2,1,0,1,0,10,1,3,1,0,Defender,PL
Fikayo Tomori,CB,90.0,0,0,0.1,0.1,0.0,1,0,1,2,0,1,1,1,0,Defender,PL
Andreas Christensen,CB,42.0,0,0,0.0,0.0,0.4,0,0,1,1,0,0,1,0,0,Defender,PL
Kurt Zouma,CB,48.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,0,Defender,PL
César Azpilicueta,RB,90.0,0,1,0.0,0.0,0.5,0,0,1,1,7,2,0,0,0,Defender,PL
Roberto Firmino,FW,90.0,1,0,0.3,0.3,0.1,2,2,2,1,0,0,0,0,0,Forward,PL
Sadio Mané,LW,71.0,0,0,0.2,0.2,0.0,1,0,0,1,0,2,2,0,0,Forward,PL
James Milner,CM,19.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,1,0,Midfield,PL
Mohamed Salah,RW,90.0,0,1,0.1,0.1,0.2,1,0,2,0,0,0,0,0,0,Forward,PL
Georginio Wijnaldum,CM,90.0,0,0,0.1,0.1,0.0,1,0,1,2,0,0,0,0,0,Midfield,PL
Jordan Henderson,CM,84.0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,2,0,0,Midfield,PL
Adam Lallana,LW,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Fabinho,DM,90.0,0,0,0.0,0.0,0.2,0,0,2,0,2,0,0,1,0,Midfield,PL
Andrew Robertson,LB,90.0,0,1,0.0,0.0,0.2,0,0,1,1,4,0,4,0,0,Defender,PL
Virgil van Dijk,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,Defender,PL
Joël Matip,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,2,1,0,0,Defender,PL
Trent Alexander-Arnold,RB,90.0,1,0,0.2,0.2,0.2,1,1,0,1,4,0,1,1,0,Defender,PL
Pierre-Emerick Aubameyang,FW,90.0,1,0,0.6,0.6,0.0,4,2,3,1,3,1,0,1,0,Forward,PL
Bukayo Saka,LW,45.0,0,0,0.0,0.0,0.1,1,0,1,0,1,1,0,0,0,Forward,PL
Calum Chambers,RB,45.0,1,0,0.2,0.2,0.0,2,1,1,0,1,0,1,0,0,Defender,PL
Nicolas Pépé,RW,90.0,1,0,0.9,0.2,0.2,4,1,0,1,5,0,1,1,0,Forward,PL
Dani Ceballos,AM,72.0,0,0,0.0,0.0,0.0,1,0,0,2,6,2,0,0,0,Midfield,PL
Lucas Torreira,AM,18.0,0,0,0.2,0.2,0.1,2,0,1,1,1,0,0,0,0,Midfield,PL
Granit Xhaka,CM,72.0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,1,0,Midfield,PL
Joe Willock,CM,18.0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,Midfield,PL
Mattéo Guendouzi,CM,90.0,0,0,0.0,0.0,0.1,1,0,1,3,0,1,1,1,0,Midfield,PL
Sead Kolašinac,LB,90.0,0,0,0.0,0.0,0.1,0,0,0,0,3,3,1,0,0,Defender,PL
David Luiz,CB,90.0,0,0,0.1,0.1,0.0,2,0,0,0,0,3,0,0,0,Defender,PL
Sokratis Papastathopoulos,CB,90.0,0,0,0.1,0.1,0.0,1,0,1,4,0,0,2,0,0,Defender,PL
Ainsley Maitland-Niles,RB,40.0,0,0,0.1,0.1,0.0,1,0,2,0,0,0,1,2,1,Defender,PL
Wesley Moraes,FW,90.0,1,0,0.2,0.2,0.0,2,2,4,0,0,2,0,0,0,Forward,PL
Anwar El Ghazi,LW,86.0,0,1,0.0,0.0,0.5,1,1,0,1,6,1,1,0,0,Forward,PL
Henri Lansbury,LW,4.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Trézéguet,RW,68.0,0,0,0.1,0.1,0.1,2,1,1,1,3,2,2,0,0,Forward,PL
Ahmed Elmohamady,RW,22.0,0,0,0.0,0.0,0.1,0,0,1,0,1,0,0,0,0,Forward,PL
Jack Grealish,CM,90.0,0,1,0.0,0.0,0.3,0,0,1,5,3,1,1,0,0,Midfield,PL
John McGinn,CM,90.0,1,0,0.6,0.6,0.1,6,4,2,3,2,2,1,0,0,Midfield,PL
Marvelous Nakamba,DM,85.0,0,0,0.0,0.0,0.0,1,1,0,1,0,3,1,0,0,Midfield,PL
Conor Hourihane,DM,5.0,0,0,0.1,0.1,0.0,1,0,0,0,1,1,0,0,0,Midfield,PL
Neil Taylor,LB,90.0,0,0,0.0,0.0,0.0,0,0,2,2,1,0,3,0,0,Defender,PL
Tyrone Mings,CB,90.0,0,0,0.1,0.1,0.0,1,0,1,0,1,0,1,0,0,Defender,PL
Björn Engels,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,3,1,0,Defender,PL
Frederic Guilbert,RB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,6,0,2,0,0,Defender,PL
Oliver McBurnie,FW,90.0,0,0,0.4,0.4,0.0,4,1,0,0,0,1,0,0,0,Forward,PL
Callum Robinson,FW,60.0,0,0,0.2,0.2,0.0,2,0,0,0,1,0,0,0,0,Forward,PL
Lys Mousset,FW,30.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Forward,PL
John Fleck,CM,90.0,0,0,0.2,0.2,0.4,1,0,0,0,4,0,1,0,0,Midfield,PL
John Lundstram,CM,90.0,0,0,0.1,0.1,0.0,2,0,1,0,2,2,3,0,0,Midfield,PL
Oliver Norwood,DM,77.0,0,0,0.0,0.0,0.2,1,1,0,1,3,1,1,0,0,Midfield,PL
Leon Clarke,AM,13.0,0,0,0.4,0.4,0.0,1,0,0,0,0,0,0,0,0,Midfield,PL
Enda Stevens,WB,90.0,0,0,0.0,0.0,0.4,0,0,2,0,4,1,3,0,0,Defender,PL
George Baldock,WB,90.0,0,0,0.0,0.0,0.1,0,0,2,0,3,2,1,0,0,Defender,PL
Jack O'Connell,CB,90.0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,0,Defender,PL
John Egan,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,2,0,0,Defender,PL
Chris Basham,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,3,0,0,Defender,PL
Roberto Firmino,FW,87.0,0,0,0.0,0.0,0.4,0,0,1,2,0,0,0,0,0,Forward,PL
James Milner,AM,3.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Midfield,PL
Sadio Mané,LW,90.0,0,0,0.8,0.8,0.0,4,1,2,2,2,0,0,0,0,Forward,PL
Mohamed Salah,RW,90.0,0,0,0.5,0.5,0.0,4,2,0,1,2,1,0,0,0,Forward,PL
Georginio Wijnaldum,CM,90.0,1,0,0.2,0.2,0.0,4,1,0,2,0,1,0,0,0,Midfield,PL
Jordan Henderson,CM,64.0,0,0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,Midfield,PL
Divock Origi,LW,26.0,0,0,0.0,0.0,0.0,1,0,0,0,2,1,0,0,0,Forward,PL
Fabinho,DM,90.0,0,0,0.0,0.0,0.1,1,0,0,1,0,3,3,0,0,Midfield,PL
Andrew Robertson,LB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,5,0,1,0,0,Defender,PL
Virgil van Dijk,CB,90.0,0,0,0.0,0.0,0.4,0,0,1,0,0,1,1,0,0,Defender,PL
Joël Matip,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,Defender,PL
Trent Alexander-Arnold,RB,90.0,0,0,0.0,0.0,0.0,1,0,0,0,8,2,2,0,0,Defender,PL
Jordan Ayew,FW,90.0,0,0,0.1,0.1,0.1,3,1,4,1,0,0,0,1,0,Forward,PL
Jeffrey Schlupp,CM,90.0,0,0,0.0,0.0,0.0,1,0,2,0,1,2,0,1,0,Midfield,PL
Cheikhou Kouyaté,CM,70.0,0,0,0.0,0.0,0.0,1,0,3,3,0,0,1,0,0,Midfield,PL
Andros Townsend,CM,20.0,1,0,0.1,0.1,0.2,1,1,0,0,3,0,1,0,0,Midfield,PL
James McArthur,CM,79.0,0,0,0.1,0.1,0.1,2,0,2,2,3,2,1,0,0,Midfield,PL
James McCarthy,CM,11.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,Midfield,PL
Wilfried Zaha,CM,90.0,0,1,0.3,0.3,0.3,4,0,0,1,2,1,0,0,0,Midfield,PL
Luka Milivojević,DM,90.0,1,0,0.8,0.0,0.1,0,0,2,2,5,4,1,1,0,Midfield,PL
Patrick van Aanholt,LB,90.0,0,0,0.1,0.1,0.0,1,0,0,0,5,1,1,0,0,Defender,PL
Gary Cahill,CB,90.0,0,0,0.1,0.1,0.0,1,0,0,0,0,1,2,0,0,Defender,PL
Martin Kelly,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,Defender,PL
Joel Ward,RB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,1,3,1,0,0,Defender,PL
Teemu Pukki,FW,90.0,0,0,0.1,0.1,0.2,1,1,1,1,0,0,0,0,0,Forward,PL
Todd Cantwell,LW,81.0,0,0,0.2,0.2,0.0,2,1,3,2,0,0,1,0,0,Forward,PL
Patrick Roberts,LW,9.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,Forward,PL
Emi Buendía,RW,90.0,0,0,0.1,0.1,0.1,2,1,1,2,7,3,1,0,0,Forward,PL
Marco Stiepermann,AM,66.0,0,0,0.1,0.1,0.0,2,0,1,1,0,0,0,1,0,Midfield,PL
Josip Drmić,AM,24.0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,Midfield,PL
Kenny McLean,CM,90.0,0,0,0.0,0.0,0.0,0,0,0,3,0,1,3,0,0,Midfield,PL
Moritz Leitner,CM,90.0,0,0,0.0,0.0,0.0,1,0,1,1,1,2,2,0,0,Midfield,PL
Jamal Lewis,LB,90.0,0,0,0.0,0.0,0.2,0,0,0,1,3,1,2,0,0,Defender,PL
Ben Godfrey,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,Defender,PL
Ibrahim Amadou,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,3,0,0,Defender,PL
Max Aarons,RB,90.0,0,0,0.0,0.0,0.0,1,0,2,1,1,1,0,0,0,Defender,PL
Tammy Abraham,FW,84.0,0,0,0.9,0.9,0.1,5,3,0,2,1,1,0,0,0,Forward,PL
Michy Batshuayi,FW,6.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,Forward,PL
Willian,LW,90.0,1,0,0.2,0.2,0.0,6,2,0,1,4,1,1,0,0,Forward,PL
Pedro,RW,63.0,0,0,0.5,0.5,0.0,5,3,0,0,0,2,1,0,0,Forward,PL
Callum Hudson-Odoi,LW,27.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Forward,PL
Mason Mount,CM,90.0,0,0,0.0,0.0,0.2,0,0,1,1,4,0,0,0,0,Midfield,PL
Ross Barkley,CM,68.0,0,0,0.4,0.4,0.3,4,1,0,1,0,1,1,0,0,Midfield,PL
Mateo Kovačić,CM,22.0,0,0,0.0,0.0,0.4,0,0,0,1,0,1,0,0,0,Midfield,PL
Jorginho,DM,90.0,1,0,0.8,0.0,0.3,1,0,0,3,0,2,4,0,0,Midfield,PL
Marcos Alonso,LB,90.0,0,0,0.2,0.2,0.3,1,0,2,0,3,0,1,1,0,Defender,PL
Fikayo Tomori,CB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,3,0,0,Defender,PL
Andreas Christensen,CB,90.0,0,0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,0,Defender,PL
César Azpilicueta,RB,90.0,0,0,0.0,0.0,0.2,0,0,1,0,0,0,2,0,0,Defender,PL
Neal Maupay,FW,79.0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,1,1,0,Forward,PL
Glenn Murray,FW,11.0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,Forward,PL
Aaron Mooy,LW,65.0,0,0,0.0,0.0,0.0,0,0,0,0,2,2,0,0,0,Forward,PL
Aaron Connolly,LW,25.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,Forward,PL
Pascal Groß,RW,90.0,0,0,0.1,0.1,0.3,2,0,1,1,5,2,1,0,0,Forward,PL
Dale Stephens,DM,90.0,0,0,0.0,0.0,0.0,1,1,2,1,0,3,1,0,0,Midfield,PL
Yves Bissouma,DM,45.0,0,0,0.0,0.0,0.0,0,0,3,0,0,0,1,0,0,Midfield,PL
Gaëtan Bong,DM,45.0,0,0,0.0,0.0,0.1,0,0,0,0,3,0,0,0,0,Midfield,PL
Steven Alzate,WB,90.0,0,0,0.0,0.0,0.0,1,0,2,0,1,2,0,1,0,Defender,PL
Martín Montoya,WB,90.0,0,0,0.0,0.0,0.0,0,0,0,1,0,3,2,0,0,Defender,PL
Dan Burn,CB,90.0,0,0,0.2,0.2,0.0,2,0,0,0,2,1,1,0,0,Defender,PL
Lewis Dunk,CB,90.0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,4,0,0,Defender,PL
Adam Webster,CB,90.0,0,0,0.1,0.1,0.0,1,0,1,0,0,0,3,1,0,Defender,PL
Dominic Solanke,FW,90.0,0,0,0.2,0.2,0.0,3,0,0,1,0,0,0,0,0,Forward,PL
Callum Wilson,FW,90.0,1,0,1.2,1.2,0.0,6,4,1,0,1,0,0,0,0,Forward,PL
Joshua King,CM,90.0,1,1,0.5,0.5,0.3,1,1,2,0,0,1,0,0,0,Midfield,PL
Jefferson Lerma,CM,90.0,0,0,0.0,0.0,0.1,0,0,0,3,1,3,3,1,0,Midfield,PL
Philip Billing,CM,89.0,0,0,0.0,0.0,0.0,1,0,0,2,2,0,1,0,0,Midfield,PL
Simon Francis,RB,1.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,Defender,PL
